one,two,three,four,five,six,seven,eight,nine,ten,min,losses,draws,wins,WinRatio
0.0,0.0,0.0,16.0,16.0,2.0,2.0,2.0,31.0,31.0,0.0,874.0,17.0,2402.0,0.7294260552687519
0.0,1.0,2.0,15.0,22.0,2.0,2.0,2.0,32.0,22.0,0.0,865.0,26.0,2402.0,0.7294260552687519
0.0,0.0,0.0,14.0,18.0,0.0,0.0,0.0,32.0,36.0,0.0,861.0,34.0,2398.0,0.7282113574248406
0.0,0.0,0.0,13.0,17.0,1.0,1.0,1.0,31.0,36.0,0.0,869.0,26.0,2398.0,0.7282113574248406
1.0,1.0,12.0,1.0,1.0,24.0,1.0,1.0,28.0,30.0,1.0,877.0,18.0,2398.0,0.7282113574248406
0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,33.0,33.0,0.0,879.0,17.0,2397.0,0.7279076829638628
0.0,0.0,2.0,16.0,21.0,3.0,2.0,2.0,32.0,22.0,0.0,857.0,40.0,2396.0,0.7276040085028849
0.0,1.0,1.0,16.0,21.0,3.0,2.0,1.0,32.0,23.0,0.0,861.0,37.0,2395.0,0.7273003340419071
1.0,1.0,13.0,1.0,1.0,23.0,2.0,3.0,26.0,29.0,1.0,880.0,21.0,2392.0,0.7263893106589736
1.0,1.0,2.0,16.0,20.0,2.0,3.0,1.0,32.0,22.0,1.0,865.0,36.0,2392.0,0.7263893106589736
1.0,1.0,2.0,16.0,20.0,2.0,3.0,1.0,32.0,22.0,1.0,865.0,36.0,2392.0,0.7263893106589736
0.0,4.0,7.0,11.0,12.0,21.0,1.0,4.0,34.0,6.0,0.0,871.0,32.0,2390.0,0.7257819617370179
0.0,8.0,0.0,0.0,0.0,0.0,28.0,0.0,32.0,32.0,0.0,873.0,31.0,2389.0,0.7254782872760401
0.0,8.0,0.0,0.0,0.0,0.0,28.0,0.0,32.0,32.0,0.0,873.0,31.0,2389.0,0.7254782872760401
0.0,1.0,11.0,3.0,2.0,22.0,2.0,2.0,29.0,28.0,0.0,875.0,31.0,2387.0,0.7248709383540844
0.0,0.0,0.0,14.0,17.0,0.0,0.0,0.0,33.0,36.0,0.0,884.0,23.0,2386.0,0.7245672638931066
0.0,1.0,2.0,16.0,21.0,3.0,2.0,1.0,32.0,22.0,0.0,878.0,29.0,2386.0,0.7245672638931066
0.0,9.0,0.0,0.0,2.0,1.0,29.0,1.0,31.0,27.0,0.0,899.0,16.0,2378.0,0.7221378682052839
0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,32.0,32.0,0.0,888.0,29.0,2376.0,0.7215305192833282
0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,31.0,32.0,0.0,890.0,27.0,2376.0,0.7215305192833282
1.0,0.0,2.0,15.0,22.0,1.0,2.0,3.0,33.0,21.0,0.0,889.0,31.0,2373.0,0.7206194959003948
0.0,0.0,2.0,16.0,21.0,3.0,2.0,3.0,32.0,21.0,0.0,884.0,38.0,2371.0,0.7200121469784391
0.0,0.0,11.0,0.0,0.0,21.0,0.0,0.0,34.0,34.0,0.0,904.0,18.0,2371.0,0.7200121469784391
0.0,7.0,1.0,2.0,2.0,1.0,26.0,1.0,34.0,26.0,0.0,881.0,44.0,2368.0,0.7191011235955056
1.0,1.0,12.0,1.0,1.0,20.0,1.0,1.0,34.0,28.0,1.0,901.0,25.0,2367.0,0.7187974491345278
1.0,0.0,0.0,18.0,18.0,3.0,3.0,3.0,32.0,22.0,0.0,881.0,46.0,2366.0,0.7184937746735499
0.0,5.0,7.0,12.0,12.0,22.0,3.0,26.0,6.0,7.0,0.0,902.0,33.0,2358.0,0.7160643789857273
0.0,5.0,7.0,12.0,12.0,22.0,3.0,26.0,6.0,7.0,0.0,902.0,33.0,2358.0,0.7160643789857273
0.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,35.0,30.0,0.0,912.0,24.0,2357.0,0.7157607045247495
0.0,5.0,6.0,8.0,12.0,22.0,3.0,31.0,6.0,7.0,0.0,911.0,29.0,2353.0,0.7145460066808381
3.0,0.0,8.0,12.0,12.0,22.0,3.0,2.0,32.0,6.0,0.0,865.0,76.0,2352.0,0.7142423322198603
0.0,0.0,1.0,12.0,1.0,24.0,2.0,3.0,34.0,23.0,0.0,893.0,49.0,2351.0,0.7139386577588824
0.0,5.0,7.0,9.0,12.0,22.0,2.0,31.0,5.0,7.0,0.0,918.0,31.0,2344.0,0.7118129365320377
2.0,3.0,8.0,12.0,12.0,23.0,6.0,4.0,7.0,23.0,2.0,921.0,28.0,2344.0,0.7118129365320377
3.0,0.0,6.0,8.0,15.0,22.0,4.0,3.0,31.0,8.0,0.0,886.0,65.0,2342.0,0.711205587610082
0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,32.0,30.0,0.0,933.0,18.0,2342.0,0.711205587610082
0.0,7.0,9.0,17.0,3.0,3.0,4.0,3.0,22.0,32.0,0.0,921.0,30.0,2342.0,0.711205587610082
3.0,0.0,6.0,8.0,15.0,22.0,4.0,3.0,31.0,8.0,0.0,886.0,65.0,2342.0,0.711205587610082
0.0,3.0,4.0,12.0,3.0,21.0,4.0,26.0,5.0,22.0,0.0,903.0,50.0,2340.0,0.7105982386881263
0.0,5.0,6.0,8.0,12.0,22.0,2.0,32.0,6.0,7.0,0.0,925.0,30.0,2338.0,0.7099908897661706
1.0,1.0,2.0,16.0,21.0,3.0,2.0,1.0,32.0,21.0,1.0,920.0,36.0,2337.0,0.7096872153051929
1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,30.0,29.0,1.0,936.0,20.0,2337.0,0.7096872153051929
1.0,0.0,0.0,14.0,20.0,2.0,2.0,2.0,29.0,30.0,0.0,923.0,34.0,2336.0,0.709383540844215
0.0,0.0,0.0,15.0,18.0,1.0,1.0,1.0,26.0,38.0,0.0,946.0,22.0,2325.0,0.7060431217734588
0.0,5.0,7.0,9.0,12.0,22.0,3.0,32.0,4.0,6.0,0.0,941.0,29.0,2323.0,0.7054357728515032
0.0,7.0,10.0,13.0,3.0,4.0,5.0,5.0,30.0,23.0,0.0,931.0,40.0,2322.0,0.7051320983905254
0.0,0.0,12.0,12.0,17.0,22.0,2.0,2.0,2.0,31.0,0.0,946.0,25.0,2322.0,0.7051320983905254
